step           time         Umax       divMax           dU  ItrP          ResP
720    4.500000e+00   1.0000e+00   8.2895e+00   1.8644e-03   103   9.70909e-06
730    4.562500e+00   1.0000e+00   8.2895e+00   1.7803e-03   103   9.71177e-06
740    4.625000e+00   1.0000e+00   8.2895e+00   1.7004e-03   103   9.71434e-06
750    4.687500e+00   1.0000e+00   8.2895e+00   1.6245e-03   103   9.71681e-06
760    4.750000e+00   1.0000e+00   8.2895e+00   1.5523e-03   103   9.71918e-06
770    4.812500e+00   1.0000e+00   8.2895e+00   1.4837e-03   103   9.72145e-06
780    4.875000e+00   1.0000e+00   8.2895e+00   1.4184e-03   103   9.72363e-06
790    4.937500e+00   1.0000e+00   8.2895e+00   1.3563e-03   103   9.72572e-06
800    5.000000e+00   1.0000e+00   8.2895e+00   1.2972e-03   103   9.72773e-06
810    5.062500e+00   1.0000e+00   8.2895e+00   1.2408e-03   103   9.72965e-06
820    5.125000e+00   1.0000e+00   8.2895e+00   1.1872e-03   103   9.73149e-06
830    5.187500e+00   1.0000e+00   8.2895e+00   1.1360e-03   103   9.73326e-06
840    5.250000e+00   1.0000e+00   8.2896e+00   1.0873e-03   103   9.73496e-06
850    5.312500e+00   1.0000e+00   8.2896e+00   1.0408e-03   103   9.73659e-06
860    5.375000e+00   1.0000e+00   8.2896e+00   9.9642e-04   103   9.73815e-06
870    5.437500e+00   1.0000e+00   8.2896e+00   9.5409e-04   103   9.73964e-06
880    5.500000e+00   1.0000e+00   8.2897e+00   9.1369e-04   103   9.74108e-06
890    5.562500e+00   1.0000e+00   8.2897e+00   8.7511e-04   103   9.74246e-06
900    5.625000e+00   1.0000e+00   8.2897e+00   8.3827e-04   103   9.74378e-06
910    5.687500e+00   1.0000e+00   8.2898e+00   8.0308e-04   103   9.74505e-06
920    5.750000e+00   1.0000e+00   8.2898e+00   7.6945e-04   103   9.74626e-06
930    5.812500e+00   1.0000e+00   8.2898e+00   7.3731e-04   103   9.74743e-06
940    5.875000e+00   1.0000e+00   8.2899e+00   7.0659e-04   103   9.74855e-06
950    5.937500e+00   1.0000e+00   8.2899e+00   6.7722e-04   103   9.74962e-06
960    6.000000e+00   1.0000e+00   8.2899e+00   6.4913e-04   103   9.75065e-06
970    6.062500e+00   1.0000e+00   8.2900e+00   6.2226e-04   103   9.75164e-06
980    6.125000e+00   1.0000e+00   8.2900e+00   5.9656e-04   103   9.75259e-06
990    6.187500e+00   1.0000e+00   8.2900e+00   5.7196e-04   103   9.75350e-06
1000   6.250000e+00   1.0000e+00   8.2901e+00   5.4842e-04   103   9.75437e-06
1010   6.312500e+00   1.0000e+00   8.2901e+00   5.2589e-04   103   9.75520e-06
1020   6.375000e+00   1.0000e+00   8.2902e+00   5.0432e-04   103   9.75601e-06
1030   6.437500e+00   1.0000e+00   8.2902e+00   4.8367e-04   103   9.75678e-06
1040   6.500000e+00   1.0000e+00   8.2902e+00   4.6389e-04   103   9.75752e-06
1050   6.562500e+00   1.0000e+00   8.2903e+00   4.4495e-04   103   9.75822e-06
1060   6.625000e+00   1.0000e+00   8.2903e+00   4.2681e-04   103   9.75890e-06
1070   6.687500e+00   1.0000e+00   8.2903e+00   4.0943e-04   103   9.75956e-06
1080   6.750000e+00   1.0000e+00   8.2904e+00   3.9278e-04   103   9.76018e-06
1090   6.812500e+00   1.0000e+00   8.2904e+00   3.7682e-04   103   9.76079e-06
1100   6.875000e+00   1.0000e+00   8.2905e+00   3.6153e-04   103   9.76136e-06
1110   6.937500e+00   1.0000e+00   8.2905e+00   3.4688e-04   103   9.76192e-06
1120   7.000000e+00   1.0000e+00   8.2905e+00   3.3283e-04   103   9.76245e-06
1130   7.062500e+00   1.0000e+00   8.2906e+00   3.1937e-04   103   9.76296e-06
1140   7.125000e+00   1.0000e+00   8.2906e+00   3.0646e-04   103   9.76345e-06
1150   7.187500e+00   1.0000e+00   8.2906e+00   2.9408e-04   103   9.76392e-06
1160   7.250000e+00   1.0000e+00   8.2906e+00   2.8222e-04   103   9.76437e-06
1170   7.312500e+00   1.0000e+00   8.2907e+00   2.7084e-04   103   9.76480e-06
1180   7.375000e+00   1.0000e+00   8.2907e+00   2.5993e-04   103   9.76521e-06
1190   7.437500e+00   1.0000e+00   8.2907e+00   2.4947e-04   103   9.76561e-06
1200   7.500000e+00   1.0000e+00   8.2908e+00   2.3943e-04   103   9.76600e-06
1210   7.562500e+00   1.0000e+00   8.2908e+00   2.2981e-04   103   9.76636e-06
1220   7.625000e+00   1.0000e+00   8.2908e+00   2.2058e-04   103   9.76672e-06
1230   7.687500e+00   1.0000e+00   8.2908e+00   2.1172e-04   103   9.76705e-06
1240   7.750000e+00   1.0000e+00   8.2909e+00   2.0322e-04   103   9.76738e-06
1250   7.812500e+00   1.0000e+00   8.2909e+00   1.9507e-04   103   9.76769e-06
1260   7.875000e+00   1.0000e+00   8.2909e+00   1.8725e-04   103   9.76799e-06
1270   7.937500e+00   1.0000e+00   8.2909e+00   1.7975e-04   103   9.76828e-06
1280   8.000000e+00   1.0000e+00   8.2910e+00   1.7255e-04   103   9.76855e-06
1290   8.062500e+00   1.0000e+00   8.2910e+00   1.6564e-04   103   9.76882e-06
