step           time         Umax       divMax   Loc(i,j,k)           dU  ItrP          ResP
600    3.750000e+00   1.0000e+00   1.3939e-03   (34,22,34)   6.3345e-03    21   9.52268e-04
610    3.812500e+00   1.0000e+00   1.3943e-03   (34,22,34)   6.0521e-03    21   9.52435e-04
620    3.875000e+00   1.0000e+00   1.3947e-03   (34,22,34)   5.7819e-03    21   9.52591e-04
630    3.937500e+00   1.0000e+00   1.3950e-03   (34,22,34)   5.5234e-03    21   9.52736e-04
640    4.000000e+00   1.0000e+00   1.3954e-03   (34,22,34)   5.2760e-03    21   9.52871e-04
650    4.062500e+00   1.0000e+00   1.3957e-03   (34,22,34)   5.0394e-03    21   9.52997e-04
660    4.125000e+00   1.0000e+00   1.3960e-03   (34,22,34)   4.8130e-03    21   9.53115e-04
670    4.187500e+00   1.0000e+00   1.3963e-03   (34,22,34)   4.5965e-03    21   9.53226e-04
680    4.250000e+00   1.0000e+00   1.3966e-03   (34,22,34)   4.3893e-03    21   9.53330e-04
690    4.312500e+00   1.0000e+00   1.3969e-03   (34,22,34)   4.1913e-03    21   9.53427e-04
700    4.375000e+00   1.0000e+00   1.3972e-03   (34,22,34)   4.0018e-03    21   9.53518e-04
710    4.437500e+00   1.0000e+00   1.3974e-03   (34,22,34)   3.8207e-03    21   9.53604e-04
720    4.500000e+00   1.0000e+00   1.3976e-03   (34,22,34)   3.6475e-03    21   9.53685e-04
730    4.562500e+00   1.0000e+00   1.3978e-03   (34,22,34)   3.4819e-03    21   9.53762e-04
740    4.625000e+00   1.0000e+00   1.3981e-03   (34,22,34)   3.3236e-03    21   9.53834e-04
750    4.687500e+00   1.0000e+00   1.3983e-03   (34,22,34)   3.1723e-03    21   9.53902e-04
760    4.750000e+00   1.0000e+00   1.3985e-03   (34,22,34)   3.0277e-03    21   9.53967e-04
770    4.812500e+00   1.0000e+00   1.3986e-03   (34,22,34)   2.8895e-03    21   9.54028e-04
780    4.875000e+00   1.0000e+00   1.3988e-03   (34,22,34)   2.7575e-03    21   9.54085e-04
790    4.937500e+00   1.0000e+00   1.3990e-03   (34,22,34)   2.6313e-03    21   9.54140e-04
800    5.000000e+00   1.0000e+00   1.3991e-03   (34,22,34)   2.5108e-03    21   9.54192e-04
810    5.062500e+00   1.0000e+00   1.3993e-03   (34,22,34)   2.3956e-03    21   9.54241e-04
820    5.125000e+00   1.0000e+00   1.3994e-03   (34,22,34)   2.2857e-03    21   9.54288e-04
830    5.187500e+00   1.0000e+00   1.3996e-03   (34,22,34)   2.1806e-03    21   9.54332e-04
840    5.250000e+00   1.0000e+00   1.3997e-03   (34,22,34)   2.0803e-03    21   9.54374e-04
850    5.312500e+00   1.0000e+00   1.3998e-03   (34,22,34)   1.9845e-03    21   9.54414e-04
860    5.375000e+00   1.0000e+00   1.3999e-03   (34,22,34)   1.8930e-03    21   9.54452e-04
870    5.437500e+00   1.0000e+00   1.4000e-03   (34,22,34)   1.8057e-03    21   9.54489e-04
880    5.500000e+00   1.0000e+00   1.4001e-03   (34,22,34)   1.7223e-03    21   9.54523e-04
890    5.562500e+00   1.0000e+00   1.4003e-03   (34,22,34)   1.6427e-03    21   9.54556e-04
900    5.625000e+00   1.0000e+00   1.4003e-03   (34,22,34)   1.5667e-03    21   9.54587e-04
910    5.687500e+00   1.0000e+00   1.4004e-03   (34,22,34)   1.4942e-03    21   9.54617e-04
