step           time         Umax       divMax   Loc(i,j,k)           dU  ItrP          ResP
600    3.750000e+00   1.0000e+00   1.0134e-03   (34,16,34)   6.3341e-03    14   9.89697e-04
610    3.812500e+00   1.0000e+00   1.0137e-03   (34,16,34)   6.0518e-03    14   9.89810e-04
620    3.875000e+00   1.0000e+00   1.0139e-03   (34,16,34)   5.7816e-03    14   9.89917e-04
630    3.937500e+00   1.0000e+00   1.0141e-03   (34,16,34)   5.5231e-03    14   9.90017e-04
640    4.000000e+00   1.0000e+00   1.0143e-03   (34,16,34)   5.2757e-03    14   9.90111e-04
650    4.062500e+00   1.0000e+00   1.0145e-03   (34,16,34)   5.0391e-03    14   9.90200e-04
660    4.125000e+00   1.0000e+00   1.0147e-03   (34,16,34)   4.8127e-03    14   9.90284e-04
670    4.187500e+00   1.0000e+00   1.0149e-03   (34,16,34)   4.5962e-03    14   9.90364e-04
680    4.250000e+00   1.0000e+00   1.0150e-03   (34,16,34)   4.3891e-03    14   9.90439e-04
690    4.312500e+00   1.0000e+00   1.0152e-03   (34,16,34)   4.1910e-03    14   9.90511e-04
700    4.375000e+00   1.0000e+00   1.0153e-03   (34,16,34)   4.0016e-03    14   9.90579e-04
710    4.437500e+00   1.0000e+00   1.0155e-03   (34,16,34)   3.8205e-03    14   9.90643e-04
720    4.500000e+00   1.0000e+00   1.0156e-03   (34,16,34)   3.6473e-03    14   9.90705e-04
730    4.562500e+00   1.0000e+00   1.0158e-03   (34,16,34)   3.4817e-03    14   9.90763e-04
740    4.625000e+00   1.0000e+00   1.0159e-03   (34,16,34)   3.3235e-03    14   9.90819e-04
750    4.687500e+00   1.0000e+00   1.0160e-03   (34,16,34)   3.1722e-03    14   9.90872e-04
760    4.750000e+00   1.0000e+00   1.0161e-03   (34,16,34)   3.0276e-03    14   9.90922e-04
770    4.812500e+00   1.0000e+00   1.0163e-03   (34,16,34)   2.8894e-03    14   9.90970e-04
780    4.875000e+00   1.0000e+00   1.0164e-03   (34,16,34)   2.7574e-03    14   9.91016e-04
790    4.937500e+00   1.0000e+00   1.0165e-03   (34,16,34)   2.6312e-03    14   9.91060e-04
800    5.000000e+00   1.0000e+00   1.0166e-03   (34,16,34)   2.5107e-03    14   9.91102e-04
810    5.062500e+00   1.0000e+00   1.0167e-03   (34,16,34)   2.3955e-03    14   9.91142e-04
820    5.125000e+00   1.0000e+00   1.0168e-03   (34,16,34)   2.2855e-03    14   9.91180e-04
830    5.187500e+00   1.0000e+00   1.0168e-03   (34,16,34)   2.1805e-03    14   9.91217e-04
840    5.250000e+00   1.0000e+00   1.0169e-03   (34,16,34)   2.0802e-03    14   9.91252e-04
850    5.312500e+00   1.0000e+00   1.0170e-03   (34,16,34)   1.9844e-03    14   9.91285e-04
860    5.375000e+00   1.0000e+00   1.0171e-03   (34,16,34)   1.8929e-03    14   9.91317e-04
870    5.437500e+00   1.0000e+00   1.0172e-03   (34,16,34)   1.8056e-03    14   9.91348e-04
880    5.500000e+00   1.0000e+00   1.0172e-03   (34,16,34)   1.7222e-03    14   9.91377e-04
890    5.562500e+00   1.0000e+00   1.0173e-03   (34,16,34)   1.6426e-03    14   9.91405e-04
900    5.625000e+00   1.0000e+00   1.0173e-03   (34,16,34)   1.5667e-03    14   9.91432e-04
910    5.687500e+00   1.0000e+00   1.0174e-03   (34,16,34)   1.4942e-03    14   9.91457e-04
920    5.750000e+00   1.0000e+00   1.0175e-03   (34,16,34)   1.4249e-03    14   9.91482e-04
930    5.812500e+00   1.0000e+00   1.0175e-03   (34,16,34)   1.3589e-03    14   9.91505e-04
940    5.875000e+00   1.0000e+00   1.0176e-03   (34,16,34)   1.2959e-03    14   9.91528e-04
950    5.937500e+00   1.0000e+00   1.0176e-03   (34,16,34)   1.2357e-03    14   9.91549e-04
960    6.000000e+00   1.0000e+00   1.0177e-03   (34,16,34)   1.1784e-03    14   9.91570e-04
970    6.062500e+00   1.0000e+00   1.0177e-03   (34,16,34)   1.1236e-03    14   9.91589e-04
980    6.125000e+00   1.0000e+00   1.0178e-03   (34,16,34)   1.0714e-03    14   9.91608e-04
990    6.187500e+00   1.0000e+00   1.0178e-03   (34,16,34)   1.0216e-03    14   9.91626e-04
1000   6.250000e+00   1.0000e+00   1.0178e-03   (34,16,34)   9.7403e-04    14   9.91643e-04
1010   6.312500e+00   1.0000e+00   1.0179e-03   (34,16,34)   9.2869e-04    14   9.91659e-04
1020   6.375000e+00   1.0000e+00   1.0179e-03   (34,16,34)   8.8545e-04    14   9.91675e-04
1030   6.437500e+00   1.0000e+00   1.0179e-03   (34,16,34)   8.4420e-04    14   9.91689e-04
1040   6.500000e+00   1.0000e+00   1.0180e-03   (34,16,34)   8.0485e-04    14   9.91704e-04
1050   6.562500e+00   1.0000e+00   1.0180e-03   (34,16,34)   7.6733e-04    14   9.91717e-04
1060   6.625000e+00   1.0000e+00   1.0180e-03   (34,16,34)   7.3155e-04    14   9.91730e-04
1070   6.687500e+00   1.0000e+00   1.0181e-03   (34,16,34)   6.9742e-04    14   9.91743e-04
1080   6.750000e+00   1.0000e+00   1.0181e-03   (34,16,34)   6.6488e-04    14   9.91754e-04
1090   6.812500e+00   1.0000e+00   1.0181e-03   (34,16,34)   6.3385e-04    14   9.91766e-04
1100   6.875000e+00   1.0000e+00   1.0181e-03   (34,16,34)   6.0426e-04    14   9.91777e-04
1110   6.937500e+00   1.0000e+00   1.0182e-03   (34,16,34)   5.7604e-04    14   9.91787e-04
1120   7.000000e+00   1.0000e+00   1.0182e-03   (34,16,34)   5.4914e-04    14   9.91797e-04
1130   7.062500e+00   1.0000e+00   1.0182e-03   (34,16,34)   5.2348e-04    14   9.91806e-04
1140   7.125000e+00   1.0000e+00   1.0182e-03   (34,16,34)   4.9903e-04    14   9.91815e-04
1150   7.187500e+00   1.0000e+00   1.0182e-03   (34,16,34)   4.7571e-04    14   9.91824e-04
1160   7.250000e+00   1.0000e+00   1.0183e-03   (34,16,34)   4.5347e-04    14   9.91832e-04
1170   7.312500e+00   1.0000e+00   1.0183e-03   (34,16,34)   4.3227e-04    14   9.91840e-04
1180   7.375000e+00   1.0000e+00   1.0183e-03   (34,16,34)   4.1206e-04    14   9.91847e-04
1190   7.437500e+00   1.0000e+00   1.0183e-03   (34,16,34)   3.9280e-04    14   9.91854e-04
1200   7.500000e+00   1.0000e+00   1.0183e-03   (34,16,34)   3.7443e-04    14   9.91861e-04
1210   7.562500e+00   1.0000e+00   1.0183e-03   (34,16,34)   3.5692e-04    14   9.91867e-04
1220   7.625000e+00   1.0000e+00   1.0183e-03   (34,16,34)   3.4022e-04    14   9.91874e-04
1230   7.687500e+00   1.0000e+00   1.0184e-03   (34,16,34)   3.2431e-04    14   9.91879e-04
1240   7.750000e+00   1.0000e+00   1.0184e-03   (34,16,34)   3.0914e-04    14   9.91885e-04
1250   7.812500e+00   1.0000e+00   1.0184e-03   (34,16,34)   2.9468e-04    14   9.91890e-04
1260   7.875000e+00   1.0000e+00   1.0184e-03   (34,16,34)   2.8089e-04    14   9.91896e-04
1270   7.937500e+00   1.0000e+00   1.0184e-03   (34,16,34)   2.6775e-04    14   9.91900e-04
1280   8.000000e+00   1.0000e+00   1.0184e-03   (34,16,34)   2.5522e-04    14   9.91905e-04
1290   8.062500e+00   1.0000e+00   1.0184e-03   (34,16,34)   2.4328e-04    14   9.91910e-04
1300   8.125000e+00   1.0000e+00   1.0184e-03   (34,16,34)   2.3189e-04    14   9.91914e-04
1310   8.187500e+00   1.0000e+00   1.0184e-03   (34,16,34)   2.2104e-04    14   9.91918e-04
1320   8.250000e+00   1.0000e+00   1.0185e-03   (34,16,34)   2.1070e-04    14   9.91922e-04
1330   8.312500e+00   1.0000e+00   1.0185e-03   (34,16,34)   2.0084e-04    14   9.91925e-04
1340   8.375000e+00   1.0000e+00   1.0185e-03   (34,16,34)   1.9144e-04    14   9.91929e-04
1350   8.437500e+00   1.0000e+00   1.0185e-03   (34,16,34)   1.8248e-04    14   9.91932e-04
1360   8.500000e+00   1.0000e+00   1.0185e-03   (34,16,34)   1.7394e-04    14   9.91935e-04
1370   8.562500e+00   1.0000e+00   1.0185e-03   (34,16,34)   1.6580e-04    14   9.91938e-04
1380   8.625000e+00   1.0000e+00   1.0185e-03   (34,16,34)   1.5804e-04    14   9.91941e-04
1390   8.687500e+00   1.0000e+00   1.0185e-03   (34,16,34)   1.5065e-04    14   9.91944e-04
1400   8.750000e+00   1.0000e+00   1.0185e-03   (34,16,34)   1.4360e-04    14   9.91947e-04
1410   8.812500e+00   1.0000e+00   1.0185e-03   (34,16,34)   1.3688e-04    14   9.91949e-04
1420   8.875000e+00   1.0000e+00   1.0185e-03   (34,16,34)   1.3047e-04    14   9.91952e-04
1430   8.937500e+00   1.0000e+00   1.0185e-03   (34,16,34)   1.2437e-04    14   9.91954e-04
1440   9.000000e+00   1.0000e+00   1.0185e-03   (34,16,34)   1.1855e-04    14   9.91956e-04
1450   9.062500e+00   1.0000e+00   1.0185e-03   (34,16,34)   1.1300e-04    14   9.91958e-04
1460   9.125000e+00   1.0000e+00   1.0185e-03   (34,16,34)   1.0771e-04    14   9.91960e-04
1470   9.187500e+00   1.0000e+00   1.0185e-03   (34,16,34)   1.0267e-04    14   9.91962e-04
1480   9.250000e+00   1.0000e+00   1.0185e-03   (34,16,34)   9.7868e-05    14   9.91964e-04
1490   9.312500e+00   1.0000e+00   1.0185e-03   (34,16,34)   9.3289e-05    14   9.91966e-04
1500   9.375000e+00   1.0000e+00   1.0185e-03   (34,16,34)   8.8924e-05    14   9.91967e-04
1510   9.437500e+00   1.0000e+00   1.0185e-03   (34,16,34)   8.4763e-05    14   9.91969e-04
1520   9.500000e+00   1.0000e+00   1.0186e-03   (34,16,34)   8.0798e-05    14   9.91970e-04
1530   9.562500e+00   1.0000e+00   1.0186e-03   (34,16,34)   7.7018e-05    14   9.91972e-04
1540   9.625000e+00   1.0000e+00   1.0186e-03   (34,16,34)   7.3415e-05    14   9.91973e-04
1550   9.687500e+00   1.0000e+00   1.0186e-03   (34,16,34)   6.9980e-05    14   9.91974e-04
