step time dt Umax CFL divMax Pitr Pres
1 0.04882812451171876 0.04882812451171876 1.0 0.5141371480404661 4.189782755215878 21 8.389148308669359e-6
10 0.1892357001501132 0.015577240106961399 1.0 0.3037350250616363 8.094853053743579 15 7.645164539429958e-6
20 0.3447292822405412 0.015532486659251972 1.0 0.35432643809367836 9.49003372413448 16 7.602920038724675e-6
30 0.49993701973939253 0.015512476562283776 1.0 0.37873035138644595 10.260205468516347 17 7.499541059727624e-6
40 0.654986735380834 0.015497361928886153 1.0 0.3927938581972573 10.734021493454842 17 8.300732255682453e-6
50 0.8098233381459995 0.015473359590821916 1.0 0.4011237387971405 11.048591818359114 17 9.597053683141343e-6
60 0.9644528242863153 0.01545525183287267 1.0 0.4069834939000481 11.275147286461783 18 7.209467554798038e-6
70 1.1189184028091623 0.015438784971621378 1.0 0.4108605395577222 11.443198515218564 18 7.302651238853472e-6
80 1.2732175103779086 0.01542306513296991 1.0 0.4132411155217286 11.567326972437483 18 7.657400565068417e-6
90 1.4273739138991832 0.015409949988226855 1.0 0.414743668248483 11.660383920564865 18 7.95138889484251e-6
100 1.5814118744899996 0.015398521197741467 1.0 0.4156119379118238 11.729745250810236 18 8.069184008498848e-6
110 1.7353248939712642 0.015385773970503188 1.0 0.4160878085036005 11.780250310818671 18 8.12349993602711e-6
120 1.889124085802688 0.015375482612713197 1.0 0.41636104047193717 11.817227644155375 18 8.215770348822711e-6
130 2.042832804811236 0.015367410711328935 1.0 0.4165886318506077 11.843904285930948 18 8.324689445456113e-6
140 2.1964716276341716 0.015361260089402029 1.0 0.41690893848586213 11.862377713299402 18 8.419044661247752e-6
150 2.350058038830312 0.015356715484428296 1.0 0.4170801085149124 11.87442067162704 18 8.482671863778782e-6
160 2.5036001319145145 0.015352313164077225 1.0 0.4171188557837524 11.881364990831704 18 8.503674063875012e-6
170 2.6571045338654504 0.015349070217583437 1.0 0.41709482925497615 11.884714840991785 18 8.505500218968908e-6
180 2.810581976544817 0.015346785008454846 1.0 0.4170295319685692 11.885521029209801 18 8.496205497306869e-6
190 2.9640407597964074 0.015345231037110545 1.0 0.41693955532001664 11.884570534426262 18 8.475387699033443e-6
200 3.117487131703253 0.015344220576001566 1.0 0.4168374005940978 11.882491190125796 18 8.448436816958782e-6
210 3.2709256701926024 0.015343603102978774 1.0 0.41673109396157304 11.879763606557052 18 8.419294920300815e-6
220 3.42435963665968 0.015343261822742444 1.0 0.41662568411904927 11.876728535977854 18 8.39118540052735e-6
230 3.5777912856094702 0.01534310827604712 1.0 0.41652418978053274 11.87361522947431 18 8.365746675585706e-6
240 3.7312221173346827 0.01534307698686874 1.0 0.41642864574635524 11.87056509361614 18 8.343628104877203e-6
250 3.8846530813384237 0.015343120710504976 1.0 0.4163401029227432 11.867662293611298 18 8.324259832373157e-6
260 4.038084735288096 0.015343206306344719 1.0 0.4162607566899086 11.86497664475391 18 8.307093302681052e-6
270 4.191517367421155 0.01534331143953296 1.0 0.41619474656640165 11.86255261304115 18 8.292343066668845e-6
280 4.344951088051031 0.015343421618981544 1.0 0.4161356543471428 11.860381752956284 18 8.280000526459785e-6
290 4.498385894205052 0.015343527808496767 1.0 0.41608303715045436 11.858453874168486 18 8.269458497558481e-6
300 4.6518217146619305 0.015343624786023396 1.0 0.4160364701666302 11.856755545266916 18 8.260326369726768e-6
310 4.805258441206492 0.01534370994211095 1.0 0.4159954409767979 11.855269072829941 18 8.252426869708677e-6
320 4.958695949582898 0.015343782380776739 1.0 0.4159594256833401 11.853974960908333 18 8.245644094755002e-6
330 5.112134112908267 0.015343842277811074 1.0 0.4159279111718724 11.852853289348769 18 8.239789627300775e-6
340 5.265572809818812 0.015343890439306337 1.0 0.4159004073036347 11.851884663402403 18 8.234733087533145e-6
350 5.419011929060797 0.015343928008300065 1.0 0.4158764567209473 11.85105082197174 18 8.230370936630066e-6
360 5.572451371706145 0.015343956266653816 1.0 0.4158556403136563 11.850334961386428 18 8.226600446046249e-6
370 5.7258910518133135 0.015343976513204707 1.0 0.41583757719654874 11.849721869636607 18 8.223341937447668e-6
380 5.879330896166642 0.015343989990593856 1.0 0.41582192474741947 11.849197911382566 18 8.220525647523961e-6
390 6.032770843458207 0.015343997842582655 1.0 0.41580837748951116 11.848750970387886 18 8.218088788091186e-6
400 6.186210843169508 0.015344001093432029 1.0 0.4157966660352359 11.848370419013426 18 8.215970361319944e-6
410 6.339650854342231 0.015344000643274847 1.0 0.4157865512158353 11.84804692488383 18 8.214133910350351e-6
420 6.493090844345311 0.015343997270497185 1.0 0.4157778222600326 11.847772497896393 18 8.212544383107232e-6
430 6.64653078769556 0.015343991639199004 1.0 0.4157702949822547 11.847540099908484 18 8.211168483904284e-6
440 6.799970664968026 0.015343984309150379 1.0 0.4157638086294075 11.847343639071413 18 8.20997524221068e-6
450 6.953410461814236 0.015343975747106482 1.0 0.4157582227266602 11.847177858065232 18 8.208943132984687e-6
460 7.106850168096595 0.015343966338508437 1.0 0.41575341523979303 11.847038224791003 18 8.208048686581893e-6
470 7.260289777136011 0.015343956398373692 1.0 0.41574928015190815 11.84692084721865 18 8.207273223638034e-6
480 7.413729285063292 0.015343946181287024 1.0 0.4157457253671326 11.846822385534002 18 8.206600642608535e-6
490 7.567168690265537 0.015343935890468223 1.0 0.4157426708675292 11.846739977287973 18 8.206016961799555e-6
500 7.720607992917435 0.01534392568578755 1.0 0.41574004746150556 11.8466711741382 18 8.20550977535979e-6
510 7.874047194587355 0.015343915690833989 1.0 0.4157377958048372 11.846613881871576 18 8.2050692573085e-6
520 8.027486297909046 0.015343905999038301 1.0 0.4157358640928961 11.846566313421516 18 8.204686506941075e-6
530 8.180925306309462 0.015343896678904914 1.0 0.4157342076698586 11.84652694592651 18 8.20435379568843e-6
